Date,Description,Amount,Reference
2024-06-01,SALARY ACME PAYROLL,2450.00,PAY-06
2024-06-02,TESCO STORES 3412 LONDON,-54.19,CARD
2024-06-03,NETFLIX.COM,-12.99,SUB
2024-06-04,TFL TRAVEL CHARGE,-8.40,CARD
2024-06-05,STARBUCKS COFFEE 88,-4.85,CARD
2024-06-07,SHELL FUEL STATION,-61.30,CARD
2024-06-09,ESSELUNGA MILANO,-38.75,CARD
2024-06-10,SPOTIFY P0A1B2,-9.99,SUB
2024-06-12,DELIVEROO ORDER,-27.40,CARD
2024-06-15,OCTOPUS ENERGY DD,-96.00,DD
2024-06-18,SAINSBURYS SUPERMARKET,-72.11,CARD
2024-06-21,UBER TRIP HELP.UBER.COM,-14.20,CARD
2024-06-25,AMAZON MARKETPLACE,-45.60,CARD
2024-06-28,RESTAURANT LA PIAZZA,-58.00,CARD
